Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite FalabellaAUT,Chrome 104.0.5112.81,,,2022-08-17 19:30:11,2022-08-17 19:30:42,"30,336s",PASSED
,,,,,,,
Test Cases/inicioSesion/01 - aperturaPagina,Chrome 104.0.5112.81,,,2022-08-17 19:30:12,2022-08-17 19:30:20,"8,031s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 19:30:12,2022-08-17 19:30:12,"0,010s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 19:30:12,2022-08-17 19:30:12,"0,004s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 19:30:12,2022-08-17 19:30:12,"0,004s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 19:30:12,2022-08-17 19:30:12,"0,262s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 19:30:12,2022-08-17 19:30:15,"2,550s",PASSED
"navigateToUrl(""https://www.falabella.com/falabella-cl"")",Chrome 104.0.5112.81,,,2022-08-17 19:30:15,2022-08-17 19:30:19,"4,092s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 19:30:19,2022-08-17 19:30:19,"0,299s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 19:30:19,2022-08-17 19:30:20,"0,389s",PASSED
,,,,,,,
Test Cases/inicioSesion/02 - PopUp articulo carrito,Chrome 104.0.5112.81,,,2022-08-17 19:30:20,2022-08-17 19:30:32,"12,695s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 19:30:20,2022-08-17 19:30:20,"0,002s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 19:30:20,2022-08-17 19:30:20,"0,002s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 19:30:20,2022-08-17 19:30:20,"0,001s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 19:30:20,2022-08-17 19:30:20,"0,001s",PASSED
textoItemCompra = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 19:30:20,2022-08-17 19:30:20,"0,001s",PASSED
textoPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 19:30:20,2022-08-17 19:30:20,"0,006s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/div__dy-lb-close""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 19:30:20,2022-08-17 19:30:21,"0,276s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/button_Aceptar""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 19:30:21,2022-08-17 19:30:21,"0,297s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/img_banner_Envio_Gratis""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 19:30:21,2022-08-17 19:30:25,"3,887s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/b_SubText_1er_subtitulo""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 19:30:25,2022-08-17 19:30:32,"7,193s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/a_GIORGIO ARMANI""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 19:30:32,2022-08-17 19:30:32,"0,392s",PASSED
"Assert.assertEquals(textoPreCarro, textoItemCompra)",Chrome 104.0.5112.81,,,2022-08-17 19:30:32,2022-08-17 19:30:32,"0,011s",PASSED
,,,,,,,
Test Cases/inicioSesion/03 - AgregarAlCarro,Chrome 104.0.5112.81,,,2022-08-17 19:30:32,2022-08-17 19:30:35,"2,887s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 19:30:33,2022-08-17 19:30:33,"0,001s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 19:30:33,2022-08-17 19:30:33,"0,001s",PASSED
