Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite FalabellaAUT,Firefox 103.0,,,2022-08-17 14:48:42,2022-08-17 14:49:04,"21,779s",ERROR
,,,,,,,
Test Cases/inicioSesion/01 - aperturaPagina,Firefox 103.0,,,2022-08-17 14:48:43,2022-08-17 14:49:03,"20,367s",PASSED
Fecha = new java.util.Date(),Firefox 103.0,,,2022-08-17 14:48:44,2022-08-17 14:48:44,"0,112s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Firefox 103.0,,,2022-08-17 14:48:44,2022-08-17 14:48:44,"0,002s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Firefox 103.0,,,2022-08-17 14:48:44,2022-08-17 14:48:44,"0,002s",PASSED
robot = new java.awt.Robot(),Firefox 103.0,,,2022-08-17 14:48:44,2022-08-17 14:48:45,"1,307s",PASSED
"openBrowser("""")",Firefox 103.0,,,2022-08-17 14:48:45,2022-08-17 14:48:56,"10,916s",PASSED
"navigateToUrl(""https://www.falabella.com/falabella-cl"")",Firefox 103.0,,,2022-08-17 14:48:56,2022-08-17 14:49:00,"4,054s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Firefox 103.0,,,2022-08-17 14:49:00,2022-08-17 14:49:03,"3,234s",PASSED
,,,,,,,
Test Cases/inicioSesion/02 - PopUp articulo carrito,Firefox 103.0,,,2022-08-17 14:49:03,2022-08-17 14:49:04,"0,700s",ERROR
