Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite FalabellaAUT,Chrome 104.0.5112.81,,,2022-08-17 20:56:36,2022-08-17 20:57:31,"54,957s",PASSED
,,,,,,,
Test Cases/inicioSesion/01 - aperturaPagina,Chrome 104.0.5112.81,,,2022-08-17 20:56:37,2022-08-17 20:56:45,"8,507s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:56:37,2022-08-17 20:56:37,"0,008s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:56:37,2022-08-17 20:56:37,"0,004s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:56:37,2022-08-17 20:56:37,"0,018s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:56:37,2022-08-17 20:56:37,"0,225s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 20:56:37,2022-08-17 20:56:40,"2,787s",PASSED
"navigateToUrl(""https://www.falabella.com/falabella-cl"")",Chrome 104.0.5112.81,,,2022-08-17 20:56:40,2022-08-17 20:56:44,"4,470s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 20:56:44,2022-08-17 20:56:45,"0,369s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:56:45,2022-08-17 20:56:45,"0,224s",PASSED
,,,,,,,
Test Cases/inicioSesion/02 - PopUp articulo carrito,Chrome 104.0.5112.81,,,2022-08-17 20:56:45,2022-08-17 20:56:58,"12,617s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:46,"0,000s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:46,"0,000s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:46,"0,001s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:46,"0,002s",PASSED
textoItemCompra = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:46,"0,004s",PASSED
textoPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:46,"0,003s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/div__dy-lb-close""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:46,"0,352s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/button_Aceptar""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:46,"0,340s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/img_banner_Envio_Gratis""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:56:46,2022-08-17 20:56:50,"3,945s",PASSED
