Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite FalabellaAUT,Chrome 104.0.5112.81,,,2022-08-17 15:00:57,2022-08-17 15:01:14,"16,968s",FAILED
,,,,,,,
Test Cases/inicioSesion/01 - aperturaPagina,Chrome 104.0.5112.81,,,2022-08-17 15:00:57,2022-08-17 15:01:10,"13,010s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 15:00:58,2022-08-17 15:00:58,"0,013s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 15:00:58,2022-08-17 15:00:58,"0,004s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 15:00:58,2022-08-17 15:00:58,"0,008s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 15:00:58,2022-08-17 15:00:58,"0,287s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 15:00:58,2022-08-17 15:01:05,"6,589s",PASSED
"navigateToUrl(""https://www.falabella.com/falabella-cl"")",Chrome 104.0.5112.81,,,2022-08-17 15:01:05,2022-08-17 15:01:09,"4,455s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 15:01:09,2022-08-17 15:01:10,"1,147s",PASSED
,,,,,,,
Test Cases/inicioSesion/02 - PopUp articulo carrito,Chrome 104.0.5112.81,,,2022-08-17 15:01:10,2022-08-17 15:01:14,"3,584s",FAILED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 15:01:11,2022-08-17 15:01:11,"0,004s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 15:01:11,2022-08-17 15:01:11,"0,001s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 15:01:11,2022-08-17 15:01:11,"0,002s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 15:01:11,2022-08-17 15:01:11,"0,000s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 15:01:11,2022-08-17 15:01:12,"0,785s",PASSED
"click(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/img_banner_Envio_Gratis""))",Chrome 104.0.5112.81,,,2022-08-17 15:01:12,2022-08-17 15:01:14,"2,309s",FAILED
