Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite FalabellaAUT,Chrome 104.0.5112.81,,,2022-08-17 20:28:39,2022-08-17 20:29:25,"45,775s",FAILED
,,,,,,,
Test Cases/inicioSesion/01 - aperturaPagina,Chrome 104.0.5112.81,,,2022-08-17 20:28:39,2022-08-17 20:28:49,"9,694s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:28:40,2022-08-17 20:28:40,"0,009s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:28:40,2022-08-17 20:28:40,"0,004s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:28:40,2022-08-17 20:28:40,"0,002s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:28:40,2022-08-17 20:28:40,"0,240s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 20:28:40,2022-08-17 20:28:43,"2,643s",PASSED
"navigateToUrl(""https://www.falabella.com/falabella-cl"")",Chrome 104.0.5112.81,,,2022-08-17 20:28:43,2022-08-17 20:28:48,"5,831s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 20:28:48,2022-08-17 20:28:49,"0,309s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:28:49,"0,229s",PASSED
,,,,,,,
Test Cases/inicioSesion/02 - PopUp articulo carrito,Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:29:01,"12,077s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:28:49,"0,000s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:28:49,"0,000s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:28:49,"0,001s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:28:49,"0,001s",PASSED
textoItemCompra = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:28:49,"0,000s",PASSED
textoPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:28:49,"0,001s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/div__dy-lb-close""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:28:49,2022-08-17 20:28:50,"0,249s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/button_Aceptar""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:28:50,2022-08-17 20:28:50,"0,459s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/img_banner_Envio_Gratis""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:28:50,2022-08-17 20:28:50,"0,244s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/b_SubText_1er_subtitulo""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:28:50,2022-08-17 20:29:01,"10,371s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/a_GIORGIO ARMANI""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 20:29:01,2022-08-17 20:29:01,"0,375s",PASSED
"Assert.assertEquals(textoPreCarro, textoItemCompra)",Chrome 104.0.5112.81,,,2022-08-17 20:29:01,2022-08-17 20:29:01,"0,007s",PASSED
,,,,,,,
Test Cases/inicioSesion/03 - AgregarAlCarro,Chrome 104.0.5112.81,,,2022-08-17 20:29:01,2022-08-17 20:29:03,"2,434s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 20:29:01,2022-08-17 20:29:01,"0,001s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 20:29:01,2022-08-17 20:29:01,"0,001s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 20:29:01,2022-08-17 20:29:01,"0,000s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 20:29:01,2022-08-17 20:29:01,"0,001s",PASSED
