Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite FalabellaAUT,Chrome 104.0.5112.81,,,2022-08-17 17:50:08,2022-08-17 17:50:27,"19,031s",FAILED
,,,,,,,
Test Cases/inicioSesion/01 - aperturaPagina,Chrome 104.0.5112.81,,,2022-08-17 17:50:09,2022-08-17 17:50:17,"7,815s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 17:50:09,2022-08-17 17:50:09,"0,011s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 17:50:09,2022-08-17 17:50:09,"0,008s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 17:50:09,2022-08-17 17:50:09,"0,011s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 17:50:09,2022-08-17 17:50:10,"0,493s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 17:50:10,2022-08-17 17:50:12,"2,650s",PASSED
"navigateToUrl(""https://www.falabella.com/falabella-cl"")",Chrome 104.0.5112.81,,,2022-08-17 17:50:12,2022-08-17 17:50:16,"3,983s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 17:50:16,2022-08-17 17:50:17,"0,213s",PASSED
,,,,,,,
Test Cases/inicioSesion/02 - PopUp articulo carrito,Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:20,"2,982s",FAILED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:17,"0,006s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:17,"0,002s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:17,"0,001s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:17,"0,007s",PASSED
textoItemCompra = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:17,"0,001s",PASSED
textoPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:17,"0,004s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/div__dy-lb-close""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:17,"0,282s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/button_Aceptar""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 17:50:17,2022-08-17 17:50:18,"0,477s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/img_banner_Envio_Gratis""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 17:50:18,2022-08-17 17:50:19,"1,549s",PASSED
,,,,,,,
Test Cases/inicioSesion/03 - AgregarAlCarro,Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:27,"7,898s",PASSED
Fecha = new java.util.Date(),Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:20,"0,001s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:20,"0,002s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:20,"0,001s",PASSED
robot = new java.awt.Robot(),Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:20,"0,001s",PASSED
subPopupPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:20,"0,003s",PASSED
textoPreCarro = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:20,"0,001s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:20,"0,084s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/03 - AgregarAlCarro/Page_popup_agregar_carro/span_Popup_GIORGIO ARMANI""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 17:50:20,2022-08-17 17:50:22,"2,436s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/03 - AgregarAlCarro/Page_popup_agregar_carro/button_Agregar al Carro""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 17:50:22,2022-08-17 17:50:25,"2,511s",PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/03 - AgregarAlCarro/Page_popup_agregar_carro/span_Popup_GIORGIO ARMANI""), 2, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-17 17:50:25,2022-08-17 17:50:27,"2,529s",PASSED
"Assert.assertEquals(textoPreCarro, subPopupPreCarro)",Chrome 104.0.5112.81,,,2022-08-17 17:50:27,2022-08-17 17:50:27,"0,013s",PASSED
