Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite FalabellaAUT,Firefox 103.0,,,2022-08-17 14:57:23,2022-08-17 14:57:42,"19,092s",FAILED
,,,,,,,
Test Cases/inicioSesion/01 - aperturaPagina,Firefox 103.0,,,2022-08-17 14:57:23,2022-08-17 14:57:39,"15,647s",PASSED
Fecha = new java.util.Date(),Firefox 103.0,,,2022-08-17 14:57:24,2022-08-17 14:57:24,"0,010s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Firefox 103.0,,,2022-08-17 14:57:24,2022-08-17 14:57:24,"0,006s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Firefox 103.0,,,2022-08-17 14:57:24,2022-08-17 14:57:24,"0,002s",PASSED
robot = new java.awt.Robot(),Firefox 103.0,,,2022-08-17 14:57:24,2022-08-17 14:57:24,"0,314s",PASSED
"openBrowser("""")",Firefox 103.0,,,2022-08-17 14:57:24,2022-08-17 14:57:31,"7,065s",PASSED
"navigateToUrl(""https://www.falabella.com/falabella-cl"")",Firefox 103.0,,,2022-08-17 14:57:31,2022-08-17 14:57:36,"4,492s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Firefox 103.0,,,2022-08-17 14:57:36,2022-08-17 14:57:39,"3,199s",PASSED
,,,,,,,
Test Cases/inicioSesion/02 - PopUp articulo carrito,Firefox 103.0,,,2022-08-17 14:57:39,2022-08-17 14:57:42,"3,042s",FAILED
Fecha = new java.util.Date(),Firefox 103.0,,,2022-08-17 14:57:40,2022-08-17 14:57:40,"0,003s",PASSED
"Dia = Fecha.format(""dd_MM_yy"")",Firefox 103.0,,,2022-08-17 14:57:40,2022-08-17 14:57:40,"0,002s",PASSED
"Hora = Fecha.format(""hh_mm_ss"")",Firefox 103.0,,,2022-08-17 14:57:40,2022-08-17 14:57:40,"0,001s",PASSED
robot = new java.awt.Robot(),Firefox 103.0,,,2022-08-17 14:57:40,2022-08-17 14:57:40,"0,001s",PASSED
"if (verifyElementPresent(findTestObject(""01 - Login/Page_falabellacom  Todo lo que necesitas en_591ae0/div_Logo_Falabella""), 2, OPTIONAL))",Firefox 103.0,,,2022-08-17 14:57:40,2022-08-17 14:57:40,"0,337s",PASSED
"click(findTestObject(""Object Repository/02 - PopUp articulo carrito/Page_Falabella_EnvioGratis/img_banner_Envio_Gratis""))",Firefox 103.0,,,2022-08-17 14:57:40,2022-08-17 14:57:42,"1,934s",FAILED
